totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
825911.944468583 -11440.65276354214 -11408.1726747945 424776.9932917256 423983.7766151941 641.3270480614882 0 0 641.3270480614882 -6.206778379787981 647.5338264412762
825916.1667138301 -11437.79614544744 -11406.8070476421 424776.9932917256 423983.7766151941 640.0917599861384 0 0 640.0917599861384 -6.206778379787981 646.2985383659264
825926.5033799923 -11432.81376743059 -11401.45275949676 424776.9932917256 423983.7766151941 640.2785812154796 0 0 640.2785812154796 -6.206778379787981 646.4853595952676
825934.7762421997 -11428.47977486504 -11397.51388985493 424776.9932917256 423983.7766151941 640.2131483474 0 0 640.2131483474 -6.206778379787981 646.419926727188
825941.002178451 -11428.42053662697 -11391.34719184168 424776.9932917256 423983.7766151941 639.7409360267992 0 0 639.7409360267992 -6.206778379787981 645.9477144065872
825947.1732693906 -11425.33432202233 -11388.26231550684 424776.9932917256 423983.7766151941 639.2849114841388 0 0 639.2849114841388 -6.206778379787981 645.4916898639268
825950.6297484585 -11423.60605827247 -11386.53410018878 424776.9932917256 423983.7766151941 640.8465540344429 0 0 640.8465540344429 -6.206778379787981 647.0533324142309
825961.4812972182 -11417.20411397342 -11382.084495728 424776.9932917256 423983.7766151941 639.9203853542089 0 0 639.9203853542089 -6.206778379787981 646.1271637339969
825965.0366623016 -11416.75498958066 -11378.97825503738 424776.9932917256 423983.7766151941 641.1421824032101 0 0 641.1421824032101 -6.206778379787981 647.3489607829981
825972.2717958419 -11409.90504745004 -11378.59306362779 424776.9932917256 423983.7766151941 641.3232349560892 0 0 641.3232349560892 -6.206778379787981 647.5300133358772
825981.4227936285 -11405.37753390434 -11373.96957938684 424776.9932917256 423983.7766151941 641.657310465587 0 0 641.657310465587 -6.206778379787981 647.864088845375
825984.4834957409 -11401.86439982815 -11374.42201135067 424776.9932917256 423983.7766151941 641.4132395771312 0 0 641.4132395771312 -6.206778379787981 647.6200179569192
825994.9398577139 -11397.84767830244 -11367.9823709034 424776.9932917256 423983.7766151941 642.0274468175088 0 0 642.0274468175088 -6.206778379787981 648.2342251972968
825998.3253616134 -11398.54674725372 -11363.89779805261 424776.9932917256 423983.7766151941 641.1687464684525 0 0 641.1687464684525 -6.206778379787981 647.3755248482405
826006.5298301971 -11394.36704092933 -11359.87303579317 424776.9932917256 423983.7766151941 642.68715903916 0 0 642.68715903916 -6.206778379787981 648.893937418948
826017.6289384558 -11390.05052249813 -11353.09044596563 424776.9932917256 423983.7766151941 642.3244782024449 0 0 642.3244782024449 -6.206778379787981 648.5312565822329
826019.2376403837 -11386.88120755456 -11354.65105898155 424776.9932917256 423983.7766151941 642.1844599874954 0 0 642.1844599874954 -6.206778379787981 648.3912383672834
826027.9841577141 -11384.27064698989 -11348.5151022158 424776.9932917256 423983.7766151941 641.6897252737311 0 0 641.6897252737311 -6.206778379787981 647.8965036535192
826034.6918847128 -11377.36171501695 -11348.71630719 424776.9932917256 423983.7766151941 641.3963314594438 0 0 641.3963314594438 -6.206778379787981 647.6031098392318
826030.6288613081 -11380.98266433856 -11349.15838127305 424776.9932917256 423983.7766151941 640.8967323958303 0 0 640.8967323958303 -6.206778379787981 647.1035107756184
826030.0930907499 -11381.23207635922 -11349.44473981054 424776.9932917256 423983.7766151941 640.1897748536443 0 0 640.1897748536443 -6.206778379787981 646.3965532334323
826042.749399432 -11372.5943704114 -11345.42613707622 424776.9932917256 423983.7766151941 641.0263757883641 0 0 641.0263757883641 -6.206778379787981 647.2331541681522
826047.2242094373 -11371.67321048285 -11341.87248699957 424776.9932917256 423983.7766151941 640.3142810307264 0 0 640.3142810307264 -6.206778379787981 646.5210594105145
826052.3808608488 -11368.60841920187 -11339.78062686899 424776.9932917256 423983.7766151941 640.3867481659155 0 0 640.3867481659155 -6.206778379787981 646.5935265457035
826053.6323455411 -11368.27500831224 -11338.8625530663 424776.9932917256 423983.7766151941 640.3818811956365 0 0 640.3818811956365 -6.206778379787981 646.5886595754246
826059.284934265 -11364.032317634 -11337.45265502072 424776.9932917256 423983.7766151941 639.7949792399349 0 0 639.7949792399349 -6.206778379787981 646.001757619723
826070.9837581601 -11359.97992809855 -11329.80622066094 424776.9932917256 423983.7766151941 641.1112644778356 0 0 641.1112644778356 -6.206778379787981 647.3180428576236
826069.1912908675 -11361.49350122 -11330.08511483214 424776.9932917256 423983.7766151941 641.7268172585622 0 0 641.7268172585622 -6.206778379787981 647.9335956383502
826082.555285942 -11356.75286199966 -11321.46175897802 424776.9932917256 423983.7766151941 640.9618871505794 0 0 640.9618871505794 -6.206778379787981 647.1686655303674
826078.9562052906 -11361.18872026894 -11320.62498136014 424776.9932917256 423983.7766151941 640.7735898563526 0 0 640.7735898563526 -6.206778379787981 646.9803682361406
826083.1388407736 -11357.97441767404 -11319.656648472 424776.9932917256 423983.7766151941 639.7316013378656 0 0 639.7316013378656 -6.206778379787981 645.9383797176537
826090.8377442234 -11352.62936665228 -11317.30279604392 424776.9932917256 423983.7766151941 639.8714904032228 0 0 639.8714904032228 -6.206778379787981 646.0782687830108
826094.0587417007 -11348.43465465608 -11318.2765105629 424776.9932917256 423983.7766151941 640.2479467244536 0 0 640.2479467244536 -6.206778379787981 646.4547251042417
826097.820291409 -11345.01761526744 -11317.93200024321 424776.9932917256 423983.7766151941 638.1593106526418 0 0 638.1593106526418 -6.206778379787981 644.3660890324298
826108.2114187335 -11341.55254050183 -11311.00594768445 424776.9932917256 423983.7766151941 639.4532086627869 0 0 639.4532086627869 -6.206778379787981 645.6599870425749
826115.2900866411 -11339.00088428582 -11306.47893599277 424776.9932917256 423983.7766151941 640.6487775531305 0 0 640.6487775531305 -6.206778379787981 646.8555559329185
826129.3236974815 -11330.76492380734 -11300.68128563086 424776.9932917256 423983.7766151941 640.7001797141656 0 0 640.7001797141656 -6.206778379787981 646.9069580939537
826131.9648537394 -11329.59886204406 -11299.20619113633 424776.9932917256 423983.7766151941 641.1021418245958 0 0 641.1021418245958 -6.206778379787981 647.3089202043839
826143.3705253587 -11324.88144197866 -11292.51793958233 424776.9932917256 423983.7766151941 641.3440845644037 0 0 641.3440845644037 -6.206778379787981 647.5508629441917
826152.7197838228 -11324.12291420992 -11283.92720888692 424776.9932917256 423983.7766151941 641.0548845099822 0 0 641.0548845099822 -6.206778379787981 647.2616628897703
826153.2791227002 -11323.16255924277 -11284.32822497671 424776.9932917256 423983.7766151941 639.7111910856111 0 0 639.7111910856111 -6.206778379787981 645.9179694653991
826153.5952632444 -11325.12244088612 -11282.05220278924 424776.9932917256 423983.7766151941 640.5584518997925 0 0 640.5584518997925 -6.206778379787981 646.7652302795806
826157.6210687035 -11321.88673259105 -11281.26210562521 424776.9932917256 423983.7766151941 641.371383494939 0 0 641.371383494939 -6.206778379787981 647.578161874727
826163.6448011084 -11318.07383822453 -11279.05126758673 424776.9932917256 423983.7766151941 641.1070444107861 0 0 641.1070444107861 -6.206778379787981 647.3138227905741
826170.5256954542 -11312.98309862628 -11277.26111283919 424776.9932917256 423983.7766151941 641.4583604562638 0 0 641.4583604562638 -6.206778379787981 647.6651388360518
826177.6140942838 -11308.42066074984 -11274.73515188603 424776.9932917256 423983.7766151941 641.9555388771394 0 0 641.9555388771394 -6.206778379787981 648.1623172569274
826188.3783922282 -11303.84896150178 -11268.54255318966 424776.9932917256 423983.7766151941 641.8342442308647 0 0 641.8342442308647 -6.206778379787981 648.0410226106527
826190.9626003125 -11302.47553151553 -11267.3317750916 424776.9932917256 423983.7766151941 642.3269847945626 0 0 642.3269847945626 -6.206778379787981 648.5337631743506
826195.6992678968 -11299.50973086909 -11265.56090815383 424776.9932917256 423983.7766151941 641.4796008952267 0 0 641.4796008952267 -6.206778379787981 647.6863792750147
826207.4156353399 -11293.43629010192 -11259.9179814779 424776.9932917256 423983.7766151941 640.6704994412394 0 0 640.6704994412394 -6.206778379787981 646.8772778210274
826214.0237440476 -11288.81891108834 -11257.92725178369 424776.9932917256 423983.7766151941 641.9141429391123 0 0 641.9141429391123 -6.206778379787981 648.1209213189003
826217.5718339717 -11287.30506255067 -11255.8930103974 424776.9932917256 423983.7766151941 642.2560390141286 0 0 642.2560390141286 -6.206778379787981 648.4628173939167
826214.7971190052 -11286.52424349561 -11259.44854441886 424776.9932917256 423983.7766151941 641.8584151123471 0 0 641.8584151123471 -6.206778379787981 648.0651934921351
826221.3980873269 -11285.26953211937 -11254.10228747336 424776.9932917256 423983.7766151941 642.1429071104387 0 0 642.1429071104387 -6.206778379787981 648.3496854902268
826229.7373070316 -11280.97191691639 -11250.06068297174 424776.9932917256 423983.7766151941 640.7604421616309 0 0 640.7604421616309 -6.206778379787981 646.9672205414189
826224.9184791029 -11287.25315186706 -11248.59827594979 424776.9932917256 423983.7766151941 640.720758825419 0 0 640.720758825419 -6.206778379787981 646.927537205207
826237.8667973392 -11277.64610582522 -11245.25700375527 424776.9932917256 423983.7766151941 640.8921156253656 0 0 640.8921156253656 -6.206778379787981 647.0988940051536
826243.3531589622 -11275.76276747665 -11241.65398048083 424776.9932917256 423983.7766151941 641.5123265238431 0 0 641.5123265238431 -6.206778379787981 647.7191049036311
826242.3978835603 -11277.17304873266 -11241.19897462679 424776.9932917256 423983.7766151941 641.5114724079176 0 0 641.5114724079176 -6.206778379787981 647.7182507877056
826244.2932352843 -11279.6190428688 -11236.85762876665 424776.9932917256 423983.7766151941 641.6721748189094 0 0 641.6721748189094 -6.206778379787981 647.8789531986974
826246.3779515882 -11279.64334205523 -11234.74861327615 424776.9932917256 423983.7766151941 640.8781887335039 0 0 640.8781887335039 -6.206778379787981 647.0849671132919
826249.5704561677 -11278.30825273824 -11232.89119801381 424776.9932917256 423983.7766151941 640.8838274529428 0 0 640.8838274529428 -6.206778379787981 647.0906058327308
