temperature_0 temperature_1 temperature_2 temperature_3 temperature_4 temperature_5 temperature_6 temperature_7 temperature_8 temperature_9 temperature_10 temperature_11 temperature_12 temperature_13 temperature_14 temperature_15 temperature_16 temperature_17 temperature_18 temperature_19 accepted_hotter_swap_0 accepted_hotter_swap_1 accepted_hotter_swap_2 accepted_hotter_swap_3 accepted_hotter_swap_4 accepted_hotter_swap_5 accepted_hotter_swap_6 accepted_hotter_swap_7 accepted_hotter_swap_8 accepted_hotter_swap_9 accepted_hotter_swap_10 accepted_hotter_swap_11 accepted_hotter_swap_12 accepted_hotter_swap_13 accepted_hotter_swap_14 accepted_hotter_swap_15 accepted_hotter_swap_16 accepted_hotter_swap_17 accepted_hotter_swap_18 accepted_hotter_swap_19 acceptance_ratio_0 acceptance_ratio_1 acceptance_ratio_2 acceptance_ratio_3 acceptance_ratio_4 acceptance_ratio_5 acceptance_ratio_6 acceptance_ratio_7 acceptance_ratio_8 acceptance_ratio_9 acceptance_ratio_10 acceptance_ratio_11 acceptance_ratio_12 acceptance_ratio_13 acceptance_ratio_14 acceptance_ratio_15 acceptance_ratio_16 acceptance_ratio_17 acceptance_ratio_18 acceptance_ratio_19 
1 1.03506 1.18759 1.34708 1.90889 2.61134 4.2091 7.10025 9.52559 21.0244 36.5109 104.37 251.016 712.89 1697.43 4728.89 17299.4 59016.4 184282 1e+06 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0.2380952380952381 0.2857142857142857 0.1904761904761905 0.4285714285714285 0.2857142857142857 0.3333333333333333 0.2380952380952381 0.1904761904761905 0.5714285714285714 0.5238095238095238 0.7619047619047619 0.6666666666666666 0.6666666666666666 0.5714285714285714 0.6666666666666666 0.7619047619047619 0.7619047619047619 0.8095238095238095 1 0 
1 1.03506 1.18759 1.34708 1.90889 2.61134 4.2091 7.10025 9.52559 21.0244 36.5109 99.0297 258.202 683.728 1668.26 4699.72 17270.2 58987.2 194954 1e+06 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0.2272727272727273 0.2727272727272727 0.1818181818181818 0.4090909090909091 0.2727272727272727 0.3181818181818182 0.2272727272727273 0.1818181818181818 0.5454545454545454 0.5 0.7272727272727273 0.6818181818181818 0.6363636363636364 0.5909090909090909 0.6818181818181818 0.7727272727272727 0.7727272727272727 0.8181818181818182 0.9545454545454546 0 
1 1.03506 1.18759 1.34708 1.90889 2.61134 4.2091 7.10025 9.52559 21.0244 35.3017 97.8204 256.993 682.518 1750.44 4545.19 17115.7 62366 187716 1e+06 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 0.2173913043478261 0.2608695652173913 0.1739130434782609 0.391304347826087 0.2608695652173913 0.3043478260869565 0.2173913043478261 0.1739130434782609 0.5217391304347826 0.4782608695652174 0.7391304347826086 0.6956521739130435 0.6521739130434783 0.6086956521739131 0.6521739130434783 0.7826086956521739 0.7826086956521739 0.7826086956521739 0.9565217391304348 0 
1 1.03506 1.18759 1.34708 1.90889 2.61134 4.2091 7.10025 9.52559 20.1335 35.6099 93.2847 252.457 677.983 1745.91 4775.38 16371.9 61622.2 186972 1e+06 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0.2083333333333333 0.25 0.1666666666666667 0.375 0.25 0.2916666666666667 0.2083333333333333 0.1666666666666667 0.5 0.5 0.7083333333333334 0.7083333333333334 0.6666666666666666 0.625 0.6666666666666666 0.75 0.7916666666666666 0.7916666666666666 0.9583333333333334 0 
1 1.03506 1.18759 1.34708 1.90889 2.61134 4.08626 7.21821 9.64355 19.4359 34.9123 92.5871 265.017 657.826 1725.75 4755.22 16351.8 61602.1 197392 1e+06 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 1 1 1 0 0 0.2 0.24 0.16 0.36 0.24 0.28 0.24 0.16 0.48 0.52 0.72 0.72 0.64 0.64 0.68 0.76 0.8 0.8 0.92 0 
1 1.03506 1.18759 1.34708 1.90889 2.55775 4.15449 7.28644 9.71178 18.757 35.5117 88.7861 261.216 686.471 1672.91 4702.39 16298.9 61549.2 197339 1e+06 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 1 1 1 0 0.1923076923076923 0.2307692307692308 0.1538461538461539 0.3461538461538461 0.2307692307692308 0.3076923076923077 0.2307692307692308 0.1538461538461539 0.4615384615384616 0.5384615384615384 0.6923076923076923 0.7307692307692307 0.6538461538461539 0.6153846153846154 0.6923076923076923 0.7692307692307693 0.8076923076923077 0.8076923076923077 0.9230769230769231 0 
1 1.03506 1.18759 1.34708 1.86635 2.56836 4.1651 7.29705 9.72239 18.0827 34.8374 92.4762 251.85 677.105 1663.55 4941.21 16537.7 58361.7 194151 1e+06 0 0 0 0 1 0 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0.1851851851851852 0.2222222222222222 0.1481481481481481 0.3333333333333333 0.2592592592592592 0.2962962962962963 0.2222222222222222 0.1481481481481481 0.4444444444444444 0.5555555555555556 0.7037037037037037 0.7037037037037037 0.6666666666666666 0.6296296296296297 0.7037037037037037 0.7407407407407407 0.7777777777777778 0.8148148148148148 0.9259259259259259 0 
1 1.03506 1.18759 1.33509 1.89656 2.59857 4.19531 7.09189 9.71431 17.4463 35.5625 88.8697 248.243 673.498 1659.94 5203.93 16800.5 55481.3 191271 1e+06 0 0 0 1 0 0 0 1 0 1 0 1 1 1 1 0 0 1 1 0 0.1785714285714286 0.2142857142857143 0.1428571428571428 0.3571428571428572 0.25 0.2857142857142857 0.2142857142857143 0.1785714285714286 0.4285714285714285 0.5714285714285714 0.6785714285714286 0.7142857142857143 0.6785714285714286 0.6428571428571429 0.7142857142857143 0.7142857142857143 0.75 0.8214285714285714 0.9285714285714286 0 
1 1.03506 1.18759 1.33509 1.85468 2.55669 4.28214 6.96266 9.79645 16.9517 35.0679 88.3751 247.749 707.281 1620.14 5449.79 16181.3 54862.2 190652 1e+06 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0.1724137931034483 0.2068965517241379 0.1379310344827586 0.3448275862068966 0.2758620689655172 0.3103448275862069 0.2068965517241379 0.2068965517241379 0.4137931034482759 0.5862068965517241 0.6896551724137931 0.7241379310344828 0.6896551724137931 0.6206896551724138 0.7241379310344828 0.6896551724137931 0.7586206896551724 0.8275862068965517 0.9310344827586207 0 
1 1.03506 1.18759 1.32417 1.8853 2.58732 4.31276 6.99328 9.61726 16.7725 36.3373 89.6445 237.218 696.75 1609.61 5745.48 15682.5 54363.3 190153 1e+06 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0.1666666666666667 0.2 0.1333333333333333 0.3666666666666666 0.2666666666666667 0.3 0.2 0.2 0.4333333333333333 0.6 0.6666666666666666 0.7 0.7 0.6333333333333333 0.7333333333333333 0.6666666666666666 0.7666666666666667 0.8333333333333334 0.9333333333333333 0 
