# Frequency (Hz), ASD (strain/sqrt(Hz))
1.355000000000000000e+02,1.553290142444431173e-23
1.357500000000000000e+02,1.464942610454253757e-23
1.360000000000000000e+02,8.418003482813241951e-24
1.362500000000000000e+02,5.925443167765158227e-24
1.365000000000000000e+02,9.983364638009747793e-24
1.367500000000000000e+02,5.092508625831922865e-24
1.370000000000000000e+02,7.916455557235105398e-24
1.372500000000000000e+02,9.348733169636012051e-24
1.375000000000000000e+02,7.324339091913886924e-24
1.377500000000000000e+02,8.520946315688390073e-24
1.380000000000000000e+02,3.346245390463570662e-24
1.382500000000000000e+02,9.977414324771329415e-24
1.385000000000000000e+02,9.657364557660186021e-24
1.387500000000000000e+02,9.448779047104622644e-24
1.390000000000000000e+02,1.069191863453875062e-23
1.392500000000000000e+02,4.491937534939950278e-24
1.395000000000000000e+02,9.294044543703845349e-24
1.397500000000000000e+02,1.294513806210956269e-23
1.400000000000000000e+02,8.315526996304650841e-24
1.402500000000000000e+02,1.128011093988180235e-23
1.405000000000000000e+02,1.033851261410568533e-23
1.407500000000000000e+02,1.761767053673481736e-23
1.410000000000000000e+02,1.265674390397030070e-23
1.412500000000000000e+02,1.567675403989200023e-23
1.415000000000000000e+02,6.064349388770246008e-24
1.417500000000000000e+02,3.294449755639091813e-24
1.420000000000000000e+02,8.933042633066228132e-24
1.422500000000000000e+02,8.551428957097436415e-24
1.425000000000000000e+02,6.723758825519756374e-24
1.427500000000000000e+02,1.115656592640178809e-23
1.430000000000000000e+02,1.360861327972179315e-23
1.432500000000000000e+02,1.650628233162865604e-23
1.435000000000000000e+02,1.909621162294927504e-23
1.437500000000000000e+02,2.065348415574311904e-23
1.440000000000000000e+02,1.585612841648165647e-23
1.442500000000000000e+02,3.213002247398177760e-24
1.445000000000000000e+02,1.550784868936050790e-23
