totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
847535.8810359898 -13800.39986097177 -13777.90411952419 437557.0925082429 437557.0925082429 356.4802882383741 0 0 356.4802882383741 -6.206778379787981 362.6870666181621
847537.0610621241 -13801.08684028622 -13776.03711407559 437557.0925082429 437557.0925082429 356.4802882383741 0 0 356.4802882383741 -6.206778379787981 362.6870666181621
847539.6507542556 -13805.2016502539 -13769.33261197636 437557.0925082429 437557.0925082429 356.8427803088957 0 0 356.8427803088957 -6.206778379787981 363.0495586886836
847540.4411442901 -13807.19780961139 -13766.54606258429 437557.0925082429 437557.0925082429 356.6522109903786 0 0 356.6522109903786 -6.206778379787981 362.8589893701666
847539.8864764055 -13807.94381866754 -13766.35472141279 437557.0925082429 437557.0925082429 356.6522109903786 0 0 356.6522109903786 -6.206778379787981 362.8589893701666
847542.7250705505 -13805.28597756675 -13766.17396836863 437557.0925082429 437557.0925082429 357.2282386280177 0 0 357.2282386280177 -6.206778379787981 363.4350170078056
847550.9155698331 -13782.6574900694 -13780.6119565833 437557.0925082429 437557.0925082429 356.6115735402511 0 0 356.6115735402511 -6.206778379787981 362.818351920039
847552.2359280069 -13772.18274178525 -13789.76634669362 437557.0925082429 437557.0925082429 356.1972036814336 0 0 356.1972036814336 -6.206778379787981 362.4039820612216
847552.6875059732 -13780.11835912397 -13781.37915138873 437557.0925082429 437557.0925082429 356.6516525193755 0 0 356.6516525193755 -6.206778379787981 362.8584308991635
847548.8886520492 -13778.74114149732 -13786.55522293925 437557.0925082429 437557.0925082429 356.9196180316675 0 0 356.9196180316675 -6.206778379787981 363.1263964114555
847550.9292239655 -13775.54287309039 -13787.71291942998 437557.0925082429 437557.0925082429 356.6501441775108 0 0 356.6501441775108 -6.206778379787981 362.8569225572988
847562.2378526765 -13800.25940255999 -13751.68776124934 437557.0925082429 437557.0925082429 356.3662754775441 0 0 356.3662754775441 -6.206778379787981 362.5730538573321
847571.6680739657 -13783.33972389796 -13759.17721862213 437557.0925082429 437557.0925082429 356.3662754775441 0 0 356.3662754775441 -6.206778379787981 362.5730538573321
847581.4888671079 -13778.58994874902 -13754.10620062894 437557.0925082429 437557.0925082429 356.0291666236045 0 0 356.0291666236045 -6.206778379787981 362.2359450033924
847581.4353184393 -13778.1171508252 -13754.63254722136 437557.0925082429 437557.0925082429 355.9979392990663 0 0 355.9979392990663 -6.206778379787981 362.2047176788543
847583.3488011304 -13787.20415772036 -13743.63205763505 437557.0925082429 437557.0925082429 356.4705277268425 0 0 356.4705277268425 -6.206778379787981 362.6773061066305
847589.4127933118 -13782.18195706906 -13742.59026610499 437557.0925082429 437557.0925082429 356.5686741516787 0 0 356.5686741516787 -6.206778379787981 362.7754525314667
847590.7636017317 -13784.7249723771 -13738.69644237695 437557.0925082429 437557.0925082429 356.5486808221669 0 0 356.5486808221669 -6.206778379787981 362.7554592019549
847594.9629086184 -13786.80933937636 -13732.41276849118 437557.0925082429 437557.0925082429 356.4266039164217 0 0 356.4266039164217 -6.206778379787981 362.6333822962097
847594.3245686992 -13794.27708462419 -13725.58336316241 437557.0925082429 437557.0925082429 356.3523414231156 0 0 356.3523414231156 -6.206778379787981 362.5591198029036
847596.4324354255 -13779.63380654721 -13738.11877451319 437557.0925082429 437557.0925082429 356.055516845716 0 0 356.055516845716 -6.206778379787981 362.262295225504
847598.7732792015 -13777.98521813655 -13737.42651914781 437557.0925082429 437557.0925082429 356.0694763622511 0 0 356.0694763622511 -6.206778379787981 362.2762547420391
847596.7835205535 -13777.48445757122 -13739.91703836112 437557.0925082429 437557.0925082429 356.2106282515791 0 0 356.2106282515791 -6.206778379787981 362.4174066313671
847597.7211669665 -13779.329271251 -13737.1345782684 437557.0925082429 437557.0925082429 356.2024788558253 0 0 356.2024788558253 -6.206778379787981 362.4092572356133
847600.5573462502 -13773.91909960847 -13739.70857062725 437557.0925082429 437557.0925082429 356.2024788558253 0 0 356.2024788558253 -6.206778379787981 362.4092572356133
847593.9677190224 -13776.97010174614 -13743.24719571733 437557.0925082429 437557.0925082429 356.0390769147785 0 0 356.0390769147785 -6.206778379787981 362.2458552945665
847592.8298865629 -13766.87049525176 -13754.48463467128 437557.0925082429 437557.0925082429 355.7593608036219 0 0 355.7593608036219 -6.206778379787981 361.9661391834099
847597.1883478193 -13771.17638203012 -13745.82028663642 437557.0925082429 437557.0925082429 356.2545479057314 0 0 356.2545479057314 -6.206778379787981 362.4613262855194
847594.4683144256 -13772.11520953998 -13747.60149252029 437557.0925082429 437557.0925082429 356.0357613494427 0 0 356.0357613494427 -6.206778379787981 362.2425397292307
847592.0458293224 -13778.66432047946 -13743.47486668404 437557.0925082429 437557.0925082429 356.0357613494427 0 0 356.0357613494427 -6.206778379787981 362.2425397292307
847596.3512272222 -13771.90297291209 -13745.93081635148 437557.0925082429 437557.0925082429 356.0357613494427 0 0 356.0357613494427 -6.206778379787981 362.2425397292307
847596.9122673767 -13779.75082734134 -13737.52192176781 437557.0925082429 437557.0925082429 356.4292455632305 0 0 356.4292455632305 -6.206778379787981 362.6360239430185
847454.7121549749 -13853.09289591362 -13806.37996559733 437557.0925082429 437557.0925082429 344.7379368051329 0 0 344.7379368051329 -6.206778379787981 350.9447151849209
847598.5090814445 -13764.6889644655 -13750.98697057596 437557.0925082429 437557.0925082429 356.3926292624154 0 0 356.3926292624154 -6.206778379787981 362.5994076422033
847600.4553112176 -13768.53006657911 -13745.19963868919 437557.0925082429 437557.0925082429 356.3926292624154 0 0 356.3926292624154 -6.206778379787981 362.5994076422033
847600.0907224189 -13755.81537558475 -13758.27891848234 437557.0925082429 437557.0925082429 356.0849660078889 0 0 356.0849660078889 -6.206778379787981 362.2917443876768
847602.6024104999 -13747.61298578557 -13763.96962020043 437557.0925082429 437557.0925082429 356.0849660078889 0 0 356.0849660078889 -6.206778379787981 362.2917443876768
847619.1757669996 -13740.74827074207 -13754.26097874422 437557.0925082429 437557.0925082429 337.664179483604 0 0 337.664179483604 -6.206778379787981 343.870957863392
847645.8161462694 -13724.77605259455 -13743.59281762181 437557.0925082429 437557.0925082429 338.1748604454786 0 0 338.1748604454786 -6.206778379787981 344.3816388252666
847705.3398832335 -13693.32860017885 -13715.51653307349 437557.0925082429 437557.0925082429 338.7668975778674 0 0 338.7668975778674 -6.206778379787981 344.9736759576554
